Word,Meaning
de,of
que,that
no,No
a,a
y,and
es,it is
en,in
lo,it
un,a
por,by
qué,what
me,I
una,a
los,the
se,I know
te,tea
con,with
para,for
está,this
mi,me
pero,but
sí,Yes
si,Yes
bien,right
eso,it's
su,its
las,the
yo,me
del,of
como,What
aquí,here
tu,your
al,to the
más,plus
le,you
esto,this
todo,all
ya,Already
estoy,am
ahora,now
muy,very
ha,he has
esta,is
así,So
vamos,we go
algo,something
hay,there are
bueno,Okay
tengo,I've got
él,the
cuando,when
estás,are
sé,HE
tú,your
nada,any
cómo,What
este,East
o,either
he,He
ser,be
tiene,have
puedo,Can I
ella,she
quiero,I want
hacer,do
fue,it was
gracias,Thank you
vez,time
era,it was
soy,am
sólo,single
todos,everybody
porque,because
son,are
tienes,you have
creo,I think
voy,I go
sabes,you know
estaba,I was
puede,can
eres,are
ese,that
usted,you
entonces,then
hola,hello
solo,only
verdad,TRUE
casa,House
tan,so
quién,who
sus,their
tiempo,weather
dos,two
esa,this
nunca,never
dónde,where
va,goes
